,I can easily log-in and log-out my Canvas account.,I can easily log-in and log-out my Canvas account. (Please write your views relating your answer above.),I can access my course using the mobile Canvas app. ,I can access my course using the mobile Canvas app. (Please write your views about this relating to your answer above.),I can access my course using the mobile Canvas app. .1,I can access my course using the mobile Canvas app. (Please write your views about this relating to your answer above.).1,I can access my Canvas account using the available computers in JRU.,I can access my Canvas account using the available computers in JRU. (Please write your views about this relating to your answer above.),I have no issues accessing my Canvas account using the wired internet connection in the computer laboratories. ,I have no issues accessing my Canvas account using the wired internet connection in the computer laboratories. (Please write your views about this relating to your answer above.),I can easily get help when I have problems with my Canvas account.,I can easily get help when I have problems with my Canvas account. (Please write your views about this relating to your answer above.),I can access my Canvas account outside JRU. ,I can access my Canvas account outside JRU. (Please write your views about this relating to your answer above.),I can clearly understand the lessons on my Canvas modules. ,I can clearly understand the lessons on my Canvas modules. (Please write your views about this relating to your answer above.),I recognize that the modules in my course are well organized.,I recognize that the modules in my course are well organized. (Please write your views about this relating to your answer above.),I can easily manage the navigation of the courses through the desktop version. ,I can easily manage the navigation of the courses through the desktop version. .1,I can easily manage the navigation of the courses through the mobile app.,I can easily manage the navigation of the courses through the mobile app. (Please write your views about this relating to your answer above.),I notice that course materials on Canvas have connection with the face to face (classroom) lesson content.,I notice that course materials on Canvas have connection with the face to face (classroom) lesson content. (Please write your views about this relating to your answer above.),I understand the lessons better with the help of course materials in Canvas. ,I understand the lessons better with the help of course materials in Canvas. (Please write your views about this relating to your answer above.),Canvas course materials make me interested.,Canvas course materials make me interested. (Please write your views about this relating to your answer above.),The course materials on Canvas helped me prepare for: [Face to Face discussions],The course materials on Canvas helped me prepare for: [Quizzes],The course materials on Canvas helped me prepare for: [Prelim/Mid-term/Final Exam],"The course materials on Canvas helped me prepare for: [Other Tasks (Assignments, Forums, etc.)]","The course materials on Canvas helped me prepare for: Face to face discussions, quizzes, major exams, assignments, forums, etc. (Please write your views about this relating to your answer above.)",My instructor knows how to use Canvas.,My instructor knows how to use Canvas. (Please write your views about this relating to your answer above.),My instructor demonstrated mastery of the subject matter.,My instructor demonstrated mastery of the subject matter. (Please write your views about this relating to your answer above.),My instructor encourages me to use Canvas.,My instructor encourages me to use Canvas. (Please write your views about this relating to your answer above.),Canvas has made it easy for me to: [Communicate with my instructor],Canvas has made it easy for me to: [Receive class announcements],Canvas has made it easy for me to: [Share ideas on group discussions],"Canvas has made it easy for me to: communicate with my instructor, receive class announcements, share ideas on group discussions","I can answer the assessment materials (quiz, exam) posted in Canvas.","I can answer the assessment materials (quiz, exam) posted in Canvas. (Please write your views about this relating to your answer above.)",I find the course materials on Canvas aligned with the: [Quizzes],"I find the course materials on Canvas aligned with the: [Major (Prelim, Mideterm, Final) Exam]","I find the course materials on Canvas aligned with the: [Other tasks (Assignements, Forums, etc.)]","I find the course materials on Canvas aligned with the: quizzes, major exams, assignments, forums, etc.) (Please write your views about this relating to your answer above.)",I have been give enough time to accomplish the activities on Canvas.,I have been give enough time to accomplish the activities on Canvas. (Please write your views about this relating to your answer above.)
31,Strongly Agree,I can easily log -in and log-out because i have no problem  ,Strongly Agree,i have no problem when i used mobile canvass,Strongly Agree,i have no problem when i used mobile canvass,Strongly Agree,"I can access my canvass account  all the time because i need to used it , especially to doing a lot activities and review my lesson in my subject",Strongly Agree,I have no issues because the connection fast,Strongly Agree,i have no problem  in my canvass account,Strongly Agree,i can access outside the main gate,Agree,Sometimes i cannot understand,Strongly Agree,I have no problem in my modules,Strongly Agree,i have no problem ,Strongly Agree,i have no problem ,Strongly Agree,during class activities,Disagree,with or without  I can undestand,Strongly Agree,canvass materials make me interested because easy to used it,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,using canvass is good ,Strongly Agree,They are good to used,Strongly Agree,they are very professional ,Strongly Agree,because required to used ,Strongly Agree,Strongly Agree,Strongly Agree,i have no problems,Strongly Agree,i have no problems the assesment materials,Strongly Agree,Agree,Strongly Agree,"sometimes , i find the course materials on canvass",Agree,because sometimes i cannot passed my activities
32,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,,Agree,Agree,Agree,Agree,,Agree,,Agree,,Agree,,Agree,Agree,Agree,,Agree,,Agree,Agree,Agree,,Agree,
33,Strongly Agree,Yes I can log in and log out my canvas account easily ,Strongly Disagree,No because the mobile app does have a lot of bugs,Strongly Disagree,No because the mobile app does have a lot of bugs,Strongly Agree,YES OF COUIRSE,Strongly Agree,NO ISSUE BECAUSE WIRED IS THE BEST,Strongly Agree,I dont have any experience about it,Strongly Agree,yes because of the internet,Strongly Agree,Yes because its organized,Strongly Agree,Yes because its organized,Strongly Agree,Yes because desktop version is good,Strongly Disagree,mobile app has a lot of bugs,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,yes canvas helps a lot,Strongly Agree,yes she knows,Strongly Agree,yes she is a master,Strongly Agree,yes all the time,Strongly Agree,Strongly Agree,Strongly Agree,yes because of the message feature.,Strongly Agree,yes i can answer it because i am smart,Disagree,Disagree,Disagree,No because sometimes its not aligned,Strongly Disagree,dont have enough time because we dont have only 1 subject to give all our time for that deadline
34,Agree,Sometimes the internet connection is slow ,Strongly Agree,"I agree, although there are some bugs, but it help me to access my files anytime, anywhere",Strongly Agree,"I agree, although there are some bugs, but it help me to access my files anytime, anywhere",Agree,"Sometimes, the internet connection is slow",Agree,"Sometimes, the internet connection is slow",Strongly Agree,The approachable professors and student assistants are ready to help,Strongly Agree,I have my phone and internet so i can access it anytime,Strongly Agree,Detail oriented modules helps me to understand it more,Agree,"Sometimes, no",Strongly Agree,I agree,Strongly Agree,"I also agree, much handy",Strongly Agree,"It doesn't matter, the matter is canvas brings convenience to us students",Strongly Agree,"I agree, it is more detailed ",Strongly Agree,Everytime,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,"I agree, but I experienced taking an exam that is not taught and not in the module",Strongly Agree,"I agree, and they always remind us about the quizzes and activities that is needed to be done",Strongly Agree,"Yes, especially in programming",Strongly Agree,"Always, because all the lessons are there all I have to do is to read",Agree,Strongly Agree,Strongly Agree,"There are times I messaged my constructor, I didn't get any reply",Strongly Agree,I agree,Strongly Agree,Strongly Agree,Strongly Agree,I agree,Agree,"Sometimes, it doesn't. The timer doesn't fit the items that we have to answer"
35,Strongly Agree,"Yes, ican easily log-in and log-out my Canvas account.",Strongly Agree,"Yes,  I can access my course using the mobile Canvas app.",Strongly Agree,"Yes, I can access my course using the mobile Canvas app.",Strongly Agree,I can always access my canvas account using available computers in JRU,Strongly Agree,"No, I have no issues accessing my Canvas account using the wired internet connection in the computer laboratories. ",Strongly Agree,"Yes, I can easily get help when I have problems with my Canvas account. ",Strongly Agree,I can always  access my Canvas account outside JRU.,Strongly Agree,The modules and lessons in Canvas are easy to understand,Strongly Agree,I recognize that the modules in my course are well organized.,Strongly Agree,I can easily manage the navigation of the courses through the desktop version.,Strongly Agree,I can easily manage the navigation of the courses through the mobile app.,Strongly Agree,I notice that course materials on Canvas have connection with the face to face lesson content.,Strongly Agree,I understand the lessons better with the help of course materials in Canvas.,Strongly Agree,Canvas course materials make me interested. ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,It helps me a lot ,Strongly Agree,"Yes, My instructor knows how to use Canvas.",Strongly Agree,My instructor demonstrated mastery of the subject matter.,Strongly Agree,My instructor encourages me to use Canvas. ,Strongly Agree,Strongly Agree,Strongly Agree,"it is easy to communicate with my instructor,receive class announcements, share ideas on group discussions ",Strongly Agree,"I can answer the assessment materials (quiz, exam) posted in Canvas. ",Strongly Agree,Strongly Agree,Strongly Agree,"I find the course materials on Canvas with quizzes, major exams, assignments, and forums. ",Strongly Agree,"yes, I have been give enough time to accomplish the activities on Canvas."
36,Strongly Agree,Yes I can access and log out it.,Disagree,Sometimes not because it is not compatible on browser of the phones,Agree,Yes it is,Strongly Agree,Yes specially on the open laboratory,Disagree,there are times the signal are fluctuating,Strongly Agree,Yes they are assisting me on the ITBL office for the canvas concerns,Strongly Agree,Yes,Agree,sometimes not,Strongly Agree,yes it is full coverage of the lessons in the subject,Agree,yes ,Agree,yes when the internet connection is stable,Disagree,sometimes the lesson are different in the lesson that we tackle on the classrom,Strongly Agree,yes as a practice and learning materials,Strongly Agree,as a source of lesson summary,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes they give information for the course,Strongly Agree,Yes he/she giving the right task for us,Strongly Agree,He/she giving us the lesson that we need to learn,Strongly Agree,Through answering quizzes and forums,Strongly Agree,Strongly Agree,Strongly Agree,Yes because they announce well through it,Strongly Agree,yes because they inform us,Strongly Agree,Strongly Agree,Strongly Agree,yes because well organzed,Disagree,sometimes not because the prof did not adjusting the time
37,Strongly Agree,the internet is sometimes slow.,Strongly Agree,the internet is very slow,Strongly Disagree,i dont have the canvas app,Strongly Agree,the computers are always availabe,Strongly Agree,yes. i dont have any issue,Strongly Agree,by searching through net,Strongly Agree,at home ,Strongly Agree,by the help of powerpoint presentation,Strongly Agree,"yes, it's very organized",Strongly Agree,because of the wide screen.,Strongly Agree,sometimes not because of slow internet.,Strongly Agree,it is somehow related.,Strongly Agree,canvas is very helpful,Strongly Agree,easy to use,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,easy to access,Strongly Agree,she knows it well.,Agree,not at all times,Strongly Agree,she always tell us to open our canvas,Strongly Agree,Strongly Agree,Strongly Agree,it helped me to communicate with my instructor,Strongly Agree,I can answer the quiz and exam ,Strongly Agree,Strongly Agree,Strongly Agree,sometimes the quizzes are not in the modules,Strongly Disagree,i need 1 month tbh
38,Strongly Agree,Sometimes the internet is slow.,Strongly Disagree,I rather use internet browser than mobile app.,Strongly Disagree,I don't use mobile app,Strongly Agree,We can use open lab to access our canvas account,Strongly Agree,It's more faster than wireless internet connection,Strongly Disagree,I don't know where will I go if I have problem with my canvas account,Strongly Agree,Unless I don't have internet,Strongly Agree,By using powerpoint presentation,Strongly Agree,Its is sort by week/s,Strongly Agree,This why I don't use mobile application,Strongly Disagree,I don't use mobile application,Strongly Agree,It's the same modules,Strongly Agree,I can access anywhere,Strongly Agree,It's motivating,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,I can have easy access anywhere,Strongly Agree,It's required,Strongly Agree,It's hard to study if the teacher don't know they are talking about,Strongly Agree,We can have easy access,Strongly Disagree,Strongly Agree,Strongly Disagree,My instructor is not replying in canvas,Strongly Disagree,We want notification before the deadline,Strongly Agree,Strongly Agree,Strongly Agree,The modules on Canvas is the reviewer,Strongly Agree,We need notification before the deadline
39,Strongly Agree,"Yes, I can easily access my Canvas Account.",Strongly Agree,I always use my mobile to access Canvas app. It works really well,Strongly Agree,"Yes, It works really well all the time.",Strongly Agree,Any computer inside lab or JRU works fine when accessing Canvas.,Strongly Disagree,"Sometimes the wired internet connection is slow, thus, doing projects and activities really stressful",Strongly Agree,IT department handles the concern in a timely manner,Strongly Agree,With a good internet connection and acceptable computer.,Strongly Agree,It can easily be accessed.,Strongly Agree,Well organized indeed.,Strongly Disagree,Some of the courses sometimes is not showing in the canvas courses tab.,Strongly Agree,"Yes, It works fine for me.",Agree,Depends with the professors.,Strongly Agree,Good job by the professors.,Strongly Agree,"Yes, It is fun. More activities I may suggest.",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"as long as the canvas material are available, it will help students a lot.",Strongly Agree,"Yes, most of the time. Maybe for new professor I guess they need time to get used of the canvas uploading system.",Strongly Agree,Most of the time they are.,Strongly Agree,We always use canvas.,Strongly Agree,Strongly Agree,Strongly Agree,"There is always a forum for the subject itself. However , most of the time irregular students are not being included in the forum.",Strongly Agree,Yes. We can access it all the time,Strongly Agree,Strongly Agree,Strongly Agree,It is always aligned to the tasks at hand.,Strongly Disagree,"Most of the time, yes!"
40,Strongly Agree,the computer and the internet is fast for us to log in and logout easily,Strongly Agree,it's more easy for us because even though where not in school were able to access our canvas acc,Strongly Agree,it's more easy for us because even though where not in school were able to access our canvas acc,Strongly Agree,i can easily access my account in our computer lab,Strongly Agree,yes there is no problem lin log in and logout of canvas,Strongly Agree,there is a student assistant in our laboratory when there is a problem were able to call them and ask for help,Strongly Agree,it's more easy for us because even though where not in school were able to access our canvas acc,Strongly Agree,yes because all of the lessons are in the canvas,Strongly Agree,yes because they already fix it ,Strongly Agree,yes i can easily manage it,Strongly Agree,yes i can easily manage the navigation,Strongly Agree,yes yes yes yes,Strongly Agree,yes because of the help of course materials in canvas we can easily access it,Strongly Agree,yes im interested,Agree,Agree,Strongly Agree,Strongly Agree,because of it we can easily answers all of the questions,Strongly Agree,yes because we always use canvas in our laboratory activities,Strongly Agree,yes,Strongly Agree,Yes because all of our laboratory activities must be sumbitted in canvas,Strongly Agree,Strongly Agree,Strongly Agree,yes because canvas have inbox for us to be able to communicate with our classmates,Strongly Agree,yes because all of out prof is putting quiz and a date so we can able to answer it on time,Strongly Agree,Strongly Agree,Strongly Agree,the quiz exam and activities are in date in canvas we have 1 week to be able to sumbit it,Strongly Agree,yes
41,Strongly Agree,I can easily login but the internet is too slow to open up the account.,Strongly Agree,Can access but the app is too slow.,Strongly Agree,Can access but the app is too slow.,Strongly Disagree,"some of the computers have no internet connection, or the pc is too slow.",Strongly Disagree,Even though we use our accounts in our phones it's still too slow.,Strongly Agree,Yes because someone will guide you.,Strongly Agree,i have no problem with this.,Strongly Disagree,sometimes it's too difficult to see what's our modules because it's not fully organize.,Strongly Disagree,It's not organized that well and sometimes we don't get notifications in our subs.,Strongly Disagree,The site needs to be more user-friendly and more easier to use.,Strongly Agree,the app version is nice.,Strongly Disagree,no i didn't notice.,Strongly Agree,it helps alot.,Strongly Disagree,i think it's much better to just put all the subjects to the main timeline for us easily see the subjects.,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,sometimes we don't get notifications for quizzes and etc.,Strongly Agree,it's better to have a prof that how knowledge about the canvas than those profs who doesn't care about his/her students.,Strongly Agree,"a prof that knows how to teach, is an amazing prof.",Strongly Agree,"my prof always makes us use canvas prof quizzes, and everything",Strongly Disagree,Strongly Disagree,Strongly Agree,can only share ideas,Strongly Disagree,"sometimes no, because we don't always get notifications.",Strongly Disagree,Strongly Agree,Strongly Disagree,only the exams that notify us.,Strongly Disagree,how can we know if there's still time if the app don't even notify us.
42,Strongly Agree,it can easily modify,Strongly Agree,When in other lab the units are slow,Strongly Agree,When in other lab the units are slow,Strongly Agree,it can easily access my canvas account in other units in JRU,Strongly Disagree,Sometimes in other units in JRU have an internet connection issue,Strongly Disagree,Because it takes long time to get help ,Strongly Agree,"yes , because canvas is for jru students",Strongly Agree,The lessons on my canvas is easily modify by the Title,Strongly Agree,It can easily recognize because it has the title on it,Strongly Agree,yes because the canvas is well compromised,Strongly Agree,yes because the canvas is well compromised,Strongly Disagree,it depends on the prof ,Strongly Agree,yes i understand the lesson better and course materials is very helpful,Strongly Agree,"yes , because the canvas is a user friendly",Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree, its helps because we can review about the previous lesson that we will taken,Strongly Agree,in other subject the instructor of ours is not applicable using canvas,Strongly Agree,yes they demonstrate the subject matter,Strongly Agree,for every meeting they always told us to use canvas ,Strongly Agree,Strongly Agree,Strongly Agree,"yes , canvas made easy for me to share my opions in group discussions",Strongly Agree,"yes , the quiz and exam that we will take is so very compromised",Strongly Agree,Strongly Agree,Strongly Agree,i find course materials on canvas where you can see the title,Strongly Agree,I have been give enough time to accomplish the activities on Canvas
43,Agree,internet connection inside the jru is poor ,Strongly Agree,I can able to do the online activities,Strongly Agree,I can able to do the online activities,Strongly Agree,"But sometimes, laboratories are not available.",Agree,Wired connection is slow sometimes,Strongly Agree,people in h201 are willing to help anytime,Strongly Agree,Mobile app can be downloaded,Agree,sometimes the PPT designs are irritating,Strongly Agree,It is sorted by time,Strongly Agree,Desktop version is easier than the mobile version,Strongly Agree,Dashboard is easy to use,Agree,Some discussion in Online  are not sync with the face to face,Strongly Agree,Course materials provided in Canvas is essential in our learning process,Agree,some powerpoint touches my interest to finish reading that material,Agree,Agree,Agree,Agree,Some contents in Canvas are not used in face to face,Strongly Agree,They are trained,Strongly Agree,She provides good scenarios ,Strongly Agree,Yes everytime ,Agree,Strongly Agree,Agree,Forums enables us to talk online ,Strongly Agree,Yes if the access code is provided ,Strongly Agree,Strongly Agree,Strongly Agree,The materials should be aligned with the teachings of our instructor,Strongly Agree,Yes she always give us enough time 
44,Agree,The internet most of the time is slow,Agree,i have not yet downloaded the application,Agree,i have not yet downloaded the application,Agree,yes but sometimes it is slow to access,Agree,sometimes the internet is slow,Agree,i dont usually get problems with my account,Agree,"yes, at home",Agree,i understand the lessons on my canvas,Agree,yes it is clearly organized,Agree,yes but sometimes it is slow,Agree,i have not yet downloaded the application,Agree,yes it has connection,Agree,yes it is very useful,Agree,it makes me very interested,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,it helped me a lot,Agree,she knows it very well,Agree,she demonstrated the mastery of the subject matter very well,Agree,every meeting she encourages all of us,Strongly Agree,Strongly Agree,Strongly Agree,canvas is always updated,Agree,i can answer it on time,Strongly Agree,Strongly Agree,Strongly Agree,it is aligned and clear,Agree,it give us enough time to answer
45,Strongly Agree,Strongly Agree because I can easily log-in and log-out my canvas account,Strongly Agree,I can access my course using mobile canvas app,Strongly Agree,I can access my course using mobile canvas app,Strongly Agree,Strongly Agree because I can access my Canvas account using the available computers in JRU. ,Strongly Agree,I have no issues accessing my canvas account,Strongly Agree,yes I can easily get help when I have problems with my Canvas account,Strongly Agree,yes I can access my Canvas account outside JRU,Strongly Agree,yes I can clearly understand the lessons on my Canvas modules.,Strongly Agree,I strongly agree that the modules in my course are well organized,Strongly Agree,yes I can easily manage the navigation of the courses through the desktop version,Strongly Agree,yes I can easily manage the navigation of the courses through the mobile app.,Strongly Agree,yes I notice that course materials on Canvas have connection with the face to face (classroom) lesson content.,Strongly Agree,yes I understand the lessons better with the help of course materials in Canvas.,Strongly Agree,yes Canvas course materials make me interested,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"I strongly agree that The course materials on Canvas helped me prepare for: Face to face discussions, quizzes, major exams, assignments and forums.",Strongly Agree,My instructor knows how to use Canvas,Strongly Agree,i strongly agree that my instructor demonstrated mastery of the subject matter,Strongly Agree,My instructor encourages me to use Canvas,Strongly Agree,Strongly Agree,Strongly Agree,"i strongly agree that Canvas has made it easy for me to: communicate with my instructor, receive class announcements, share ideas on group discussions",Strongly Agree,yes i can answer the assessment materials posted in canvas,Strongly Agree,Strongly Agree,Strongly Agree,"i strongly agree , I find the course materials on Canvas aligned with the: quizzes, major exams, assignments, forums, ",Strongly Agree,"I strongly agree , I have been give enough time to accomplish the activities on Canvas"
46,Strongly Agree,It was easy for me to log-in and log-out my account because I don't encounter any problem so far.,Strongly Disagree,It was really disappointing because the mobile app of canvas that was installed in my phone don't direct the site of my school immediately. There's also a lot of features that I can't do using my phone.,Strongly Disagree,It was hard to use mobile canvas application,Strongly Agree,There's no problem so far in accessing my canvas account using jru computers.,Strongly Agree,It's fine most of the time but sometimes during examination the connectivity to the internet was so slow.,Strongly Agree,The SA inside the open laboratory are approachable.,Strongly Agree,I can open my account using a browser in my phone.,Strongly Agree,Modules help me to have a deeper understanding towards the topic,Strongly Agree,The modules are well organize so I can easily see the modules per term,Strongly Agree,It was more conveninent whenever I use desktop version,Strongly Disagree,Mobile app was so disappointing.,Strongly Agree,The questionare in our quizzes contains the lessons that was discuss in the module,Strongly Agree,I also use it as a reviewer ,Strongly Disagree,I dont like the module that contains a lot of texts because sometimes I am irritated reading and reading long texts.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,It help me because I use it as a reviwer,Strongly Agree,She knows the topic that was being discuss but sometimes she can't give a better example that a student can understand,Strongly Agree,She knows the subject matter really well,Strongly Agree,I have no choice because the subject was blended learning,Strongly Agree,Strongly Agree,Strongly Agree,I can reach my teacher and classmates easily,Strongly Agree,With the help of modules,Strongly Agree,Strongly Agree,Strongly Agree,Everything was discuss in the modules,Strongly Agree,The deadlines was ok.
47,Strongly Agree,I can easily access log-in and log-out my account anytime and anywhere,Strongly Agree,I can access it wherever I am.,Strongly Agree,I can access it wherever I am.,Strongly Agree,I can  access it through the openlab  that is availabe ,Strongly Agree,I can easily access it using wired internet connection,Strongly Agree,I can go to 211 for the help,Strongly Agree,I can pass my assignment everywhere,Strongly Agree,I can search anything on google,Strongly Agree,I can easily find it easily,Strongly Agree,I can easily access it,Disagree,Sometimes the mobile app are not working,Strongly Agree,"We can  easily understand the lesson, by reading it inadvance",Strongly Agree,We can have a advance reading before the face to face lesson,Strongly Agree,It really help me to enjoy my college life,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,I can study in advance,Disagree,Some of my instructor are not really know how to use canvas so if we need to pass some requirements online they always wanted some hard copy of it because they are not comfortable using it especially the elder teachers,Strongly Agree,they teach us very well,Strongly Agree,we need to take a quiz and make assignment in canvas so it really encourage me to use it .,Disagree,Strongly Agree,Strongly Agree,In communicating with my instructor they are not replying on canvas.,Strongly Agree,I can easily access it,Strongly Agree,Strongly Agree,Strongly Agree,All that we need to answer its all in canvas very minimal paper works that we answer face to face,Strongly Agree,"They open the quizzes etc, a head of time"
48,Agree,"Yes, it's easy but the connection is the problem",Agree,"Yes, i am able to",Disagree,sometimes i can't log in,Strongly Agree,"Yes, I can access my canvas in the computers but sometimes the computers are not available",Agree,"Yes, because it's good",Agree,"Yes, because the IT office always do something about it",Strongly Agree,yes because it is online,Agree,"Yes, because it's precise",Agree,"yes, because it is all displayed with big icons",Agree,yes because it is much more easy,Disagree,no because sometimes my canvas doesn't let me log in,Agree,yes it does,Agree,yes because i can study everywhere i want as long as there's a internet connection,Agree,"yes sometimes, when there's too much activities",Agree,Agree,Agree,Agree,The course materials on Canvas helped me prepare those kind of things,Agree,"yes, but there are some instructors/prof that doesn't use canvas",Agree,"yes, my instructor demonstrated mastery of the subject matter",Agree,"yes, but because i need to because the activities are posted there",Disagree,Agree,Agree,"yes it does, but I don't usually communicate there with my prof.",Agree,yes but only if there's a internet connection,Agree,Agree,Agree,"yes, I find the course materials on Canvas aligned with the: quizzes, major exams, assignments, forums, etc.",Agree,"yes, because there's a time limit"
49,Strongly Agree,I still don't encounter any problems in terms of log in and log out.,Strongly Agree,The canvas app is easy to download and easy to use.,Strongly Agree,All the courses that I am enrolled in are available in canvas.,Strongly Agree,All of the computers have stable internet connection that['s why I can use canvas.,Strongly Agree,The internet connection in computer laboratories are quite slow that's why sometimes it is hard to access canvas or it takes long time in opening canvas,Strongly Agree,the ITBL are always available if I have problem with canvas.,Strongly Agree,Since I have canvas application in my phone I can access it easily.,Strongly Agree,the powerpoints and lessons in canvas are pleasing to the eyes and easy to understand,Strongly Agree,all the modules are organized per term that's why it is easy to identify the lessons that we need to study,Strongly Agree,Using the desktop version of canvas are easy to manage or easy to use.,Strongly Agree,I am more comfortable in using canvas through mobile application.,Strongly Agree,Every lecture day all of the lessons that are taught are available in canvas,Strongly Agree,Since I am a visual learner it is better for me to have the course materials in canvas,Strongly Agree,canvas course materials are interesting because there are videos and powerpoint available for us to understand,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,All of the lessons that are needed in major exams are available in canvas,Strongly Agree,Our professor knows how to access canvas,Strongly Agree,My professor knows well about the subject matter by giving alternative explanations,Strongly Agree,My professor always reminds us to check our canvas every time we meet,Strongly Agree,Strongly Agree,Strongly Agree,It is easy to communicate with my professor and classmates using canvas,Strongly Agree,When there is quiz or exam canvas will notify me in my email account so that I will be reminded to answer it,Strongly Agree,Strongly Agree,Strongly Agree,All of the lessons that cover up our examinations are available in canvas,Strongly Agree,When there is a activity it is open for 1 week and that is enough time for me to finish it
50,Strongly Agree,i dont have any hassle problem to log in and log out ,Strongly Agree,it good that i can access my course using my phone,Strongly Agree,it good that i can access my course using my phone,Strongly Agree,everytime there`s have a available computer so there is no any problem,Agree,sometimes it's good but sometimes no,Strongly Agree,i did not encountered any problem in my canvas so still its good,Strongly Agree,good that even if you are not inside of the campus you still can access to your canvas,Strongly Agree,if i have any question im just going to my canvas modules then the aswer is already on that.,Strongly Agree,it was look good because you dont have any problem to find your work ,Strongly Agree,it was better because it easly to see using desktop version,Strongly Agree,"yes i can easily access using mobile phone, and it is good that even if you dont have laptop or desktop you still can access",Strongly Agree,it is nice because the students can do the advance learning,Strongly Agree,if i have a another question i can easily look to my modules ,Agree,"sometimes yes, sometimes no. still depend on the person what he/she interested",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"it is easy to used if i have a dout to my pass lecture , so next time i already know the right answer",Strongly Agree,she/he very know i can see that during lecture day,Strongly Agree,yes she can she is a good speaker,Strongly Agree,yes all of my teacher ,Strongly Agree,Strongly Agree,Strongly Agree,using canvas my instructor can update us every time anytime anywhere,Strongly Agree,yes because it is already posted,Strongly Agree,Strongly Agree,Strongly Agree,yes it is aligned when you log in to your canvas,Strongly Agree,it is because there's have a dead line
51,Strongly Agree,I strongly agree because i can easily access my account.,Strongly Agree,I can access my course using the application.,Strongly Agree,I can access my course using the application.,Strongly Agree,Yes i can access my account using the available computers,Strongly Agree,Yes I have no issues on using my account on wired computer,Agree,Yes i can sometimes get help when I encounter a problem with my canvas.,Strongly Agree,Yes may canvas account is accessible outside the JRU.,Agree,Yes the lesson on the canvas is in my learning course.,Agree,Some professor doesn't organize our module well. ,Strongly Agree,Yes I can easily navigate the course through the desktop version,Strongly Agree,Yes I can navigate the course on my mobile application.,Strongly Agree,Yes it is relation to the face to face lesson in the class.,Strongly Agree,Yes i can understand the lesson better because it is uploaded in advance,Strongly Agree,Yes it makes me interest because I can easily access all our lesson through the use of canvas.,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes it helped me prepare for all of this things.,Strongly Agree,Yes my instructor know how to use the canvas very well.,Strongly Agree,Yes they mastered the subject matter.,Strongly Agree,Yes they encourage me to use canvas because all of our activity is uploaded in the canvas.,Agree,Strongly Agree,Agree,Canvas is a good application when it comes to discussing about the subject matter.,Strongly Agree,yes i can answer the things to do that is uploaded in the canvas.,Strongly Agree,Strongly Agree,Strongly Agree,yes it is all aligned with our lesson in the subject.,Strongly Agree,Yes the task is uploaded in advance so we can have enough time to finish all our task.
