Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,SUBJECT:,SECTION:,COURSE SCHEDULE,I can easily log-in and log-out my Canvas account.,I can access my course using the mobile Canvas app.,I can access my Canvas account using the available computers in JRU.,I have no issues accessing my Canvas account using JRU's wifi connection.,I have no issues accessing my Canvas account using the wired internet connection in the computer laboratories.,I can easily get help when I have problems with my Canvas account.,I can access my Canvas account outside JRU.,I can clearly understand the lessons on my Canvas modules.,I recognize that the modules in my course are well organized.,I can easily manage the navigation of the courses through the desktop version.,I can easily manage the navigation of the courses through the mobile app.,I notice that course materials on Canvas have connection with the face to face (classroom) lesson content.,I understand the lessons better with the help of course materials in Canvas.,Canvas course materials make me interested.,The course materials on Canvas helped me prepare for:,,,,My instructor knows how to use Canvas.,My instructor demonstrated mastery of the subject matter.,My instructor encourages me to use Canvas.,Canvas has made it easy for me to:,,,"I can answer the assessment materials (quiz, exam) posted in Canvas.",I find the course materials on Canvas aligned with the:,,,I have been give enough time to accomplish the activities on Canvas.,What I like best in Canvas is/are:,What I like least in Canvas is/are:,I would like to suggest:
10901877510,241444183,2019-08-03 18:19:22,2019-08-03 18:21:41,110.54.242.12,,,,311,FOS C101 - Strategies for Academic Success in College,BSHM-CMGT 101S,10:30 AM,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
10901876209,241444183,2019-08-03 18:16:58,2019-08-03 18:20:54,110.54.144.200,,,,312,HIS C101- Readings in Philippine History,103H,09:10 AM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Module,I dont like the one time deadline of all the activities,make more time
10901875635,241444183,2019-08-03 18:15:50,2019-08-03 18:20:06,130.105.186.54,,,,313,FOS C101 - Strategies for Academic Success in College,103p,12:00 PM,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,the modules,none,none
10901875048,241444183,2019-08-03 18:15:58,2019-08-03 18:18:42,110.54.242.12,,,,314,PHI C102- Ethics,BSHM-CMGT 101S,10:30 AM,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,,,
10901873478,241444183,2019-08-03 18:14:16,2019-08-03 18:15:54,175.176.18.203,,,,315,HIS C101- Readings in Philippine History,102F,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
10901871425,241444183,2019-08-03 18:10:26,2019-08-03 18:14:51,112.201.76.104,,,,316,HTM C704 - Transportation Management,201 TM,12:00 PM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
10901870749,241444183,2019-08-03 18:10:12,2019-08-03 18:15:19,110.54.144.200,,,,317,PHI C102- Ethics,103H,7:9 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Module,Short time,make more time to answer
10901869000,241444183,2019-08-03 18:09:10,2019-08-03 18:11:29,175.176.18.203,,,,318,PSY C101 - Understanding the Self,102F,03:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
10901868869,241444183,2019-08-03 18:09:05,2019-08-03 18:11:40,180.190.91.150,,,,319,FOS C101 - Strategies for Academic Success in College,AB PSY 101P,07:30 AM,Agree,Agree,Agree,Disagree,Agree,N/A,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,N/A,Agree,Strongly Agree,Agree,N/A,Agree,Agree,Agree,Agree,Agree,N/A,Agree,,,
10901867859,241444183,2019-08-03 18:07:27,2019-08-03 18:14:17,110.54.242.12,,,,320,HIS C101- Readings in Philippine History,BSHM-CMGT 101S,09:00 AM,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,,,
10901867282,241444183,2019-08-03 18:07:12,2019-08-03 18:09:19,119.95.248.246,,,,321,HIS C101- Readings in Philippine History,BSHM-CMGT 103S,01:30 PM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,,,
10901865526,241444183,2019-08-03 18:05:51,2019-08-03 18:08:14,180.190.91.150,,,,322,HIS C101- Readings in Philippine History,AB PSY 101P,09:00 AM,Agree,Agree,Agree,Disagree,Agree,N/A,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,N/A,Agree,Strongly Agree,Agree,N/A,Agree,N/A,Agree,Agree,Agree,N/A,Agree,,,
10901862703,241444183,2019-08-03 18:02:48,2019-08-03 18:04:32,112.201.73.170,,,,323,PSY C101 - Understanding the Self,102F,03:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
10901861000,241444183,2019-08-03 18:00:15,2019-08-03 18:05:25,112.201.71.37,,,,324,NST C101- National Service Training Program 1,BSA - 103A,11:30 AM,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,,,
10901860549,241444183,2019-08-03 18:00:32,2019-08-03 18:02:13,110.54.208.226,,,,325,HIS C101- Readings in Philippine History,103x,09:00 AM,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Easily,So easily,More easily
10901860411,241444183,2019-08-03 18:00:27,2019-08-03 18:02:23,112.201.73.170,,,,326,FOS C101 - Strategies for Academic Success in College,102F,04:30 PM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
10901858914,241444183,2019-08-03 17:57:27,2019-08-03 17:59:53,110.54.208.226,,,,327,PSY C101 - Understanding the Self,102m,10:30 AM,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Easily,So easily,More easily
10901858871,241444183,2019-08-03 17:57:36,2019-08-03 18:00:03,112.201.73.170,,,,328,NST C101- National Service Training Program 1,102F,11:30 AM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
10901858011,241444183,2019-08-03 17:56:53,2019-08-03 18:00:06,112.201.126.94,,,,329,HIS C101- Readings in Philippine History,BTSM 104,09:00 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"You can do your works any time, anywhere",Anyone,"No need suggestion, its already full package"
10901857650,241444183,2019-08-03 17:56:08,2019-08-03 17:58:48,152.32.96.238,,,,330,FOS C101 - Strategies for Academic Success in College,101p,07:30 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,
10901856553,241444183,2019-08-03 17:54:52,2019-08-03 17:57:01,110.54.221.85,,,,331,FOS C101 - Strategies for Academic Success in College,101 M,12:00 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
10901856050,241444183,2019-08-03 17:53:39,2019-08-03 17:57:12,112.201.73.170,,,,332,HIS C101- Readings in Philippine History,102F,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
10901854499,241444183,2019-08-03 17:48:54,2019-08-03 17:58:57,112.201.64.157,,,,333,HIS C101- Readings in Philippine History,BSHM-CMGT 101S,09:10 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,its help me to have more knowledge and can do a self-study at home and whenever I go,the better communication and easily to message the teacher.,"I suggest to have a group chat in a specific section wherein, we could talk about the discussions and assignments that we have to do."
10901853402,241444183,2019-08-03 17:50:07,2019-08-03 17:53:30,110.54.221.85,,,,334,HIS C101- Readings in Philippine History,101 M,10:30 AM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Agree,Agree,Agree,Agree,,,
10901851812,241444183,2019-08-03 17:46:38,2019-08-03 17:51:02,110.54.208.226,,,,335,FOS C101 - Strategies for Academic Success in College,102m,10:30 AM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Easily,So easily,More easily
10901849597,241444183,2019-08-03 17:44:48,2019-08-03 17:47:46,112.201.167.142,,,,336,HIS C101- Readings in Philippine History,103P AB-PSY,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,I CAN ACCESS MY MODULES  WHERE EVER I AM,NOTHNG,NOTHING
10901848640,241444183,2019-08-03 17:43:16,2019-08-03 17:46:53,110.54.221.85,,,,337,ENG C101- Purposive Communication,101 M,12:00 AM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,,,
10901848204,241444183,2019-08-03 17:42:28,2019-08-03 17:44:14,175.176.32.135,,,,338,FOS C101 - Strategies for Academic Success in College,101BA,09:00 AM,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
10901845967,241444183,2019-08-03 17:39:09,2019-08-03 17:41:08,175.176.32.135,,,,339,PHI C102- Ethics,104x,01:30 PM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
10901844795,241444183,2019-08-03 17:36:44,2019-08-03 17:44:48,112.201.74.240,,,,340,"HUM 11- Appreciation of Arts, Music and Literature",301H,01:30 PM,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,I'm always updated with our lessons,some of the dates especially regarding with the quizzes are not yet updated,to have a BETTER WIFI CONNECTION for us student can use the desktop at the library
10901844379,241444183,2019-08-03 17:36:47,2019-08-03 17:39:13,110.54.176.138,,,,341,NST C101- National Service Training Program 1,101 M,08:30 AM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,,,
10901844098,241444183,2019-08-03 17:36:40,2019-08-03 17:41:09,180.191.103.57,,,,342,PSY C101 - Understanding the Self,101T,12:00 PM,Strongly Agree,N/A,Strongly Agree,N/A,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,N/A,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,very convenient  it helps me to have an enough allotment of time for my  major subjects,N/A,N/A
10901843613,241444183,2019-08-03 17:35:48,2019-08-03 17:38:14,175.176.32.135,,,,343,HUM C102 - Art Appreciation,103S,01:30 PM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
10901843403,241444183,2019-08-03 17:35:47,2019-08-03 17:40:44,175.176.26.124,,,,344,ENG C101- Purposive Communication,BSN101,10:30 AM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,It can be access anywhere,N/A,N/A
10901842841,241444183,2019-08-03 17:34:43,2019-08-03 17:36:51,112.209.28.23,,,,345,PSY C101 - Understanding the Self,BSA-101A,09:30 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,N/A,N/A,N/A
10901842423,241444183,2019-08-03 17:34:15,2019-08-03 17:44:33,112.201.66.208,,,,346,FOS C101 - Strategies for Academic Success in College,BSA 105A,01:30 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,i can manage my time and i can easily review when we have quiz or exam,i can manage my time by using this,i like to suggest is do not post on your canvas is too difficult to understand by the student because the professor did not always know what is in the canvas
10901842366,241444183,2019-08-03 17:34:04,2019-08-03 17:36:54,110.93.93.17,,,,347,HIS C101- Readings in Philippine History,102A,07:30 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,accessibility.,accessibility.,
10901841462,241444183,2019-08-03 17:32:50,2019-08-03 17:34:22,112.209.28.23,,,,348,ENG C101- Purposive Communication,BSA-101A,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,N/A,N/A,N/A
10901840911,241444183,2019-08-03 17:31:35,2019-08-03 17:35:42,180.191.103.57,,,,349,FOS C101 - Strategies for Academic Success in College,101T,09:00 AM,Strongly Agree,N/A,Strongly Agree,N/A,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,N/A,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,very convenient  helps me allot enough time to focus on my major subjects,N/A,N/A
10901840547,241444183,2019-08-03 17:30:55,2019-08-03 17:38:16,112.206.107.117,,,,350,NST C101- National Service Training Program 1,BSA 101A,08:30 AM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"I can submit my assignment and activity online. and also, I  can take my quizzes online.",sometimes what's on canvas is not being tackled in face to face discussion and also when we take our quizzes we cannot see where we have a mistake.,at least show our mistake in quizzes so that we will be able to know the correct answer of it.
10901840027,241444183,2019-08-03 17:30:27,2019-08-03 17:32:24,112.209.28.23,,,,351,NST C101- National Service Training Program 1,BSA-101A,08:30 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,N/A,N/A,N/A
10901839785,241444183,2019-08-03 17:30:04,2019-08-03 17:33:45,110.93.93.17,,,,352,ENG C101- Purposive Communication,102A,10:30 AM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,state of having convenience.,my scores.,to have notification bar on our phone  to alarm us that due date.
10901837719,241444183,2019-08-03 17:27:15,2019-08-03 17:29:23,112.209.28.23,,,,353,HIS C101- Readings in Philippine History,BSA-101A,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,N/A,N/A,N/A
10901837546,241444183,2019-08-03 17:24:25,2019-08-03 17:35:16,110.54.176.138,,,,354,PSY C101 - Understanding the Self,101 M,09:00 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,none,none,none
10901837088,241444183,2019-08-03 17:26:32,2019-08-03 17:34:02,130.105.216.184,,,,355,ENG C101- Purposive Communication,105A,07:30 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,,I'm not actually techy so most of the time I forget that I need to answer my quizzes online.,Should have a chance to take quizzes for those who have forgotten to answer their quiz. Just give them less points.
10901836322,241444183,2019-08-03 17:24:53,2019-08-03 17:29:46,180.191.103.57,,,,356,HIS C101- Readings in Philippine History,101T,07:30 AM,Strongly Agree,N/A,Strongly Agree,N/A,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,N/A,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,very convenient  i can allot enough time on my major subjects and helps me enhance my time management skills,N/A,N/A
10901833357,241444183,2019-08-03 17:21:05,2019-08-03 17:22:46,119.92.7.198,,,,357,PHI C102- Ethics,103p,01:30 PM,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,
10901833286,241444183,2019-08-03 17:20:54,2019-08-03 17:25:36,180.191.139.58,,,,358,ENG C101- Purposive Communication,101T,01:30 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Organization,Speed of accessing it when i'm at school. Connection is too slow.,Fix the internwt connection so that we can access it anywhere in school.
10901831996,241444183,2019-08-03 17:18:58,2019-08-03 17:21:49,112.205.169.21,,,,359,FOS C101 - Strategies for Academic Success in College,105x,01:30 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Lectures,Long modules,Make the module brief but clear
10901831541,241444183,2019-08-03 17:18:43,2019-08-03 17:22:03,180.191.139.145,,,,360,PHI C102- Ethics,104S,09:00 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,can access anywhere,due time of activities / some error buttons,SMS notification
10901830886,241444183,2019-08-03 17:16:52,2019-08-03 17:24:15,180.191.103.57,,,,361,ENG C101- Purposive Communication,101T,01:30 PM,Strongly Agree,N/A,Strongly Agree,N/A,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,N/A,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,very convenient   helps me to have enough time to focus on my major subjects,contents of the quizzes are not indicated at the module,N/A
