Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44
11041450668,247032279,10/04/2019 12:48,10/04/2019 12:49,203.160.174.174,,,,353,FOS C101 - Strategies for Academic Success in College,101DA,12:50 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,,,
11041450647,247032279,10/04/2019 12:47,10/04/2019 12:52,114.108.241.58,,,,354,PSY C101 - Understanding the Self,C101-102K,12:00 PM,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Ease of access,Announcements are not pushed effectively to mobile devices' notification.,Improving the notification for mobile devices.
11041449986,247032279,10/04/2019 12:47,10/04/2019 12:50,203.160.174.174,,,,355,PHI C102- Ethics,102H,12:00 PM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,,,
11041449962,247032279,10/04/2019 12:47,10/04/2019 12:49,203.160.174.174,,,,356,FOS C101 - Strategies for Academic Success in College,101M,12:00 AM,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,,,
11041449784,247032279,10/04/2019 12:47,10/04/2019 12:49,114.108.241.58,,,,357,PSY C101 - Understanding the Self,102k,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,i can access it anywhere especially when i am at work,i like everything,nothing
11041449612,247032279,10/04/2019 12:46,10/04/2019 12:48,114.108.241.58,,,,358,FOS C101 - Strategies for Academic Success in College,101M,12:00 PM,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,,,
11041449408,247032279,10/04/2019 12:46,10/04/2019 12:48,114.108.241.58,,,,359,FOS C101 - Strategies for Academic Success in College,104s,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,secret,secret parin,secret na talaga yon
11041449048,247032279,10/04/2019 12:46,10/04/2019 12:47,114.108.241.58,,,,360,FOS C101 - Strategies for Academic Success in College,101DA,12:00 AM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
11041448815,247032279,10/04/2019 12:46,10/04/2019 12:50,203.160.174.174,,,,361,PHI C102- Ethics,102h,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Disagree,N/A,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Agree,Disagree,lesson,-,-
11041448006,247032279,10/04/2019 12:45,10/04/2019 12:47,114.108.241.58,,,,362,FOS C101 - Strategies for Academic Success in College,101DA,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,N/A,Strongly Agree,N/A,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,
11041446582,247032279,10/04/2019 12:43,10/04/2019 12:46,203.160.174.174,,,,363,HIS C101- Readings in Philippine History,103s,12:46 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,i can see my schedule,code of activities,
11041446557,247032279,10/04/2019 12:43,10/04/2019 12:45,203.160.174.174,,,,364,HIS C101- Readings in Philippine History,103s,12:46 PM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
11041446394,247032279,10/04/2019 12:44,10/04/2019 12:45,114.108.241.58,,,,365,PHI C102- Ethics,102h,12:00 PM,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,,,
11041446202,247032279,10/04/2019 12:43,10/04/2019 12:46,203.160.174.174,,,,366,FOS C101 - Strategies for Academic Success in College,101m,1:30 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,CONVENIENT,TOO BROAD INFO,MAKE IT SHORTER AND EFFECTIVE TO REVIEW  
11041446130,247032279,10/04/2019 12:44,10/04/2019 12:45,114.108.241.58,,,,367,HIS C101- Readings in Philippine History,101m,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,N/A,N/A,N/A
11041445994,247032279,10/04/2019 12:43,10/04/2019 12:45,114.108.241.58,,,,368,FOS C101 - Strategies for Academic Success in College,BSBA MGT-101M,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,
11041445776,247032279,10/04/2019 12:43,10/04/2019 12:45,203.160.174.174,,,,369,FOS C101 - Strategies for Academic Success in College,101M,12:00 PM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,N/A,N/A,N/A
11041445557,247032279,10/04/2019 12:43,10/04/2019 12:45,114.108.241.58,,,,370,FOS C101 - Strategies for Academic Success in College,101M,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,
11041445452,247032279,10/04/2019 12:43,10/04/2019 12:45,203.160.174.174,,,,371,PHI C102- Ethics,102H,12:00 PM,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Easy to access,None,Upgrade Mobile Version because some features are not working properly
11041445328,247032279,10/04/2019 12:42,10/04/2019 12:46,114.108.241.58,,,,372,PHI C102- Ethics,102-H,12:00 AM,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,,,
11041444991,247032279,10/04/2019 12:43,10/04/2019 12:45,203.160.174.174,,,,373,PHI C102- Ethics,102H,12:37 PM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,,,
11041444969,247032279,10/04/2019 12:43,10/04/2019 12:45,203.160.174.174,,,,374,PHI C102- Ethics,BSHM 102-H,12:00 PM,Agree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,,,
11041444895,247032279,10/04/2019 12:42,10/04/2019 12:46,203.160.174.174,,,,375,PHI C102- Ethics,102 H,12:01 PM,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,I would like to suggest that please don't be more pressure in giving the assign works because more of the 1st year students are adjusting in new curriculum thank you.
11041443997,247032279,10/04/2019 12:42,10/04/2019 12:43,114.108.241.58,,,,376,ENG C101- Purposive Communication,101m,12:00 PM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,N/A,N/A,Strongly Agree,N/A,Strongly Disagree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,N/A,N/A,N/A
11041443794,247032279,10/04/2019 12:41,10/04/2019 12:46,114.108.241.58,,,,377,PHI C102- Ethics,102H,12:00 PM,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,I can use it everywhere,i cant use it offling,to use it in every school  
11041443779,247032279,10/04/2019 12:41,10/04/2019 12:43,114.108.241.58,,,,378,FOS C101 - Strategies for Academic Success in College,101M,12:00 PM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
11041443760,247032279,10/04/2019 12:41,10/04/2019 12:45,114.108.241.58,,,,379,PHI C102- Ethics,102h,12:27 PM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,N/A,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,activity ,dead line,longer dead line
11041443704,247032279,10/04/2019 12:41,10/04/2019 12:44,114.108.241.58,,,,380,PHI C102- Ethics,BSHM-102H,12:27 PM,Disagree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,None,None,None
11041443549,247032279,10/04/2019 12:41,10/04/2019 12:44,203.160.174.174,,,,381,PHI C102- Ethics,102h,12:30 PM,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,I can access it anywhere,Sometimes the passed works is missing,To organize the dashboard and improve it
11041442746,247032279,10/04/2019 12:41,10/04/2019 12:42,203.160.174.174,,,,382,FOS C101 - Strategies for Academic Success in College,101m,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Advance readinh,nothing,nothing
11041442590,247032279,10/04/2019 12:41,10/04/2019 12:42,203.160.174.174,,,,383,FOS C101 - Strategies for Academic Success in College,101M,12:00 PM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
11041442355,247032279,10/04/2019 12:40,10/04/2019 12:43,203.160.174.174,,,,384,PHI C102- Ethics,102h,12:30 PM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,do activities,activities,dont do more activities in canvass
11041438820,247032279,10/04/2019 12:37,10/04/2019 12:38,114.108.241.58,,,,385,FOS C101 - Strategies for Academic Success in College,101M,12:00 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,
11041438709,247032279,10/04/2019 12:37,10/04/2019 12:41,114.108.241.58,,,,386,PHI C102- Ethics,102H,12:00 PM,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,,
11041436684,247032279,10/04/2019 12:35,10/04/2019 12:37,114.108.241.58,,,,387,FOS C101 - Strategies for Academic Success in College,101M,12:00 PM,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,EASY TO ACCESS ,,BE MORE SPECIFIC REGARDING TO THE TOPIC 
11041436500,247032279,10/04/2019 12:34,10/04/2019 12:37,114.108.241.58,,,,388,FOS C101 - Strategies for Academic Success in College,101-M,12:30 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,
11041434310,247032279,10/04/2019 12:32,10/04/2019 12:36,114.108.241.58,,,,389,PHI C102- Ethics,102 H,12:00 PM,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,,,
11041433452,247032279,10/04/2019 12:32,10/04/2019 12:38,114.108.241.58,,,,390,PHI C102- Ethics,102H,11:30 AM,Agree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,N/A,N/A,N/A,Strongly Disagree,NONE,NONE,NONE
11041433382,247032279,10/04/2019 12:31,10/04/2019 12:36,114.108.241.58,,,,391,PHI C102- Ethics,102H,12:00 PM,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,It can be access anywhere.,"There are times that upon uploading a file, it isn't working.",The bugs should be fix.
11041432753,247032279,10/04/2019 12:31,10/04/2019 12:33,114.108.241.58,,,,392,FOS C101 - Strategies for Academic Success in College,101 DA,12:30 AM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
11041430632,247032279,10/04/2019 12:27,10/04/2019 12:46,203.160.174.174,,,,393,FOS C101 - Strategies for Academic Success in College,101DA,12:00 PM,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,everything,forums,"face to face exam, quizzes"
11041428419,247032279,10/04/2019 12:28,10/04/2019 12:34,114.108.241.58,,,,394,FOS C101 - Strategies for Academic Success in College,101DA,12:10 PM,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,I can access it at home,I can't access it at a computer shop,easy access anywhere and any time
11041428008,247032279,10/04/2019 12:26,10/04/2019 12:32,114.108.241.58,,,,395,PHI C102- Ethics,102h,12:00 PM,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,,,
11041427716,247032279,10/04/2019 12:27,10/04/2019 12:31,114.108.241.58,,,,396,FOS C101 - Strategies for Academic Success in College,101DA,12:30 PM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,User friendly.,"Most of the time, I dont recieve notifications.",Improved the canvas
11041427566,247032279,10/04/2019 12:27,10/04/2019 12:32,203.160.174.174,,,,397,FOS C101 - Strategies for Academic Success in College,101DA,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,I can access my modules anywhere,No atleast second attempts given on quizzes or seatwork,Add another attempts and chance for students to answer their assigned tasks with deadlines
11041427365,247032279,10/04/2019 12:27,10/04/2019 12:30,203.160.174.174,,,,398,FOS C101 - Strategies for Academic Success in College,101-DA,12:00 PM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,It is good,lack of announcements,none
11041427304,247032279,10/04/2019 12:27,10/04/2019 12:28,203.160.174.174,,,,399,FOS C101 - Strategies for Academic Success in College,101DA,12:30 PM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
11041427233,247032279,10/04/2019 12:26,10/04/2019 12:32,203.160.174.174,,,,400,PHI C102- Ethics,102H,11:30 AM,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,NONE  ,NOTHING,
11041427194,247032279,10/04/2019 12:27,10/04/2019 12:29,203.160.174.174,,,,401,FOS C101 - Strategies for Academic Success in College,101DA,12:30 PM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,Notification message of the activities needed to do
11041426924,247032279,10/04/2019 12:27,10/04/2019 12:28,114.108.241.58,,,,402,FOS C101 - Strategies for Academic Success in College,101DA,12:30 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Everything,Everything,"Nothing, all good."
11041426080,247032279,10/04/2019 12:23,10/04/2019 12:31,203.160.174.174,,,,403,PHI C102- Ethics,102H,12:30 AM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Disagree,nothing,nothing,nothing
11041426017,247032279,10/04/2019 12:25,10/04/2019 12:29,203.160.174.174,,,,404,HIS C101- Readings in Philippine History,103S,12:00 PM,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
11041425395,247032279,10/04/2019 12:24,10/04/2019 12:27,203.160.174.174,,,,405,HIS C101- Readings in Philippine History,103S,12:00 PM,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
11041425265,247032279,10/04/2019 12:25,10/04/2019 12:26,114.108.241.58,,,,406,HIS C101- Readings in Philippine History,103S,12:00 PM,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
